"","amount","duration","payments","status","frequency","region","inhab","mun499","mun1999","mun9999","mun10000","cities","ratio_urban","avg_salary","unempl95","unempl96","ratio_entr","crimes95","crimes96","gender","acc_m","age","avg_balance","avg_amtC","avg_amtW","remittance","cash_c","cash_w"
"17",259740,"60",4329,"0","Monthly","north Moravia",228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,"M",5,14,38296.0575963719,12565.52,6398.42,121,21,169
"18",38148,"12",3179,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",5,28,39267.0091653028,7432.32,4201.6,196,26,191
"19",86616,"12",7218,"0","Monthly","central Bohemia",75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,"M",4,32,55418.8112299465,4484.96,3083.84,131,115,187
"20",75624,"24",3151,"1","Monthly","south Moravia",387570,0,0,0,1,1,100,9897,1.6,1.96,140,18721,18696,"M",6,35,38446.5898454746,10518.84,9019.89,22,84,221
"21",80952,"24",3373,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",10,48,36540.7043933054,10506.93,4768.18,89,12,237
"22",80952,"24",3373,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",10,48,35557.4979079498,10504.52,4788.12,89,12,237
"23",24516,"12",2043,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",10,35,55885.4838951311,17641.6,10170.73,12,128,324
"24",253200,"60",4220,"0","Weekly","north Moravia",228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,"F",8,43,47187.386259542,12372.05,7772.02,59,85,181
"25",21072,"24",878,"0","Monthly","central Bohemia",149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,"F",4,29,31828.2779411765,2501.09,1651.57,142,99,177
"26",108144,"36",3004,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",8,30,59002.1727642276,14976.93,8981.74,101,121,202
"27",78936,"12",6578,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",9,37,30917.3488977956,4290.19,2587.46,138,129,164
"28",149040,"48",3105,"0","Monthly","central Bohemia",75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,"F",9,25,37200.3718120805,9913.19,4428.49,112,5,194
"29",49320,"12",4110,"1","AfterTrans","west Bohemia",122603,25,21,6,2,8,80,8991,1.39,2.01,128,5198,5273,"F",5,48,49615.3574108818,14348.34,7306.68,132,120,217
"30",197748,"36",5493,"0","Monthly","east Bohemia",102609,75,33,2,3,6,52,8187,4.83,5.45,94,2123,2134,"F",5,23,47919.9873831776,12946.25,5390.5,94,66,205
"31",300660,"60",5011,"0","Monthly","north Bohemia",128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,"M",10,44,49107.3194675541,13755.73,5874.34,247,113,173
"32",182628,"36",5073,"0","Monthly","north Moravia",138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,"M",4,34,39338.6221153846,8159.78,3603.48,93,70,191
"33",91632,"12",7636,"0","Monthly","central Bohemia",94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,"F",12,31,47917.9765327696,8950.3,4228.23,78,88,237
"34",51696,"24",2154,"0","Monthly","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,"F",13,26,58674.8068,16178.6,10408.15,25,127,250
"35",55368,"24",2307,"0","Monthly","south Moravia",197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,"F",12,54,42411.8743970315,10093.08,7925.83,24,104,277
"36",91200,"24",3800,"0","Monthly","north Bohemia",119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,"F",7,38,32920.4359036145,11587.45,5917.95,84,13,188
"37",7656,"24",319,"0","Monthly","east Bohemia",78955,50,24,8,1,9,59,9060,1.78,2.44,124,1655,1717,"F",12,31,46877.7485714286,7682.94,4847.82,89,71,227
"38",212400,"36",5900,"0","Weekly","north Bohemia",85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,"F",13,27,62403.351369863,12300.62,7950.52,36,105,227
"39",167100,"60",2785,"0","Monthly","south Moravia",145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,"F",11,24,56108.403652968,15525.33,9954.81,57,104,208
"40",149340,"60",2489,"0","Weekly","east Bohemia",105606,77,26,7,2,7,53,8254,2.79,3.76,97,2166,2325,"M",10,31,35020.3,7736.92,4231.79,120,20,153
"41",65184,"12",5432,"0","Monthly","south Moravia",387570,0,0,0,1,1,100,9897,1.6,1.96,140,18721,18696,"M",14,36,70233.5125,17018.17,8109.51,12,12,280
"42",215388,"36",5983,"1","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",5,34,35553.192481203,7648.26,6894.15,20,75,189
"43",89040,"60",1484,"0","Monthly","north Moravia",148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,"F",13,24,36367.2910280374,3833.22,2991,120,106,171
"44",193968,"36",5388,"0","AfterTrans","north Moravia",226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,"M",6,21,52787.8367647059,8994.44,8857.94,36,85,167
"45",24312,"12",2026,"0","Monthly","south Bohemia",93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,"F",15,38,36158.3989795918,6314.96,3981.11,12,13,225
"46",272520,"60",4542,"0","Monthly","central Bohemia",92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,"M",11,54,52304.9380549683,14265.39,8425.43,120,110,176
"47",80340,"12",6695,"0","Monthly","central Bohemia",75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,"F",10,18,56843.838534279,21873.58,9787.43,12,3,265
"48",97632,"12",8136,"0","Monthly","south Bohemia",70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,"F",10,25,59053.0096892139,24914.42,8642.2,134,12,271
"49",196080,"48",4085,"0","Monthly","west Bohemia",87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,"M",7,36,63749.2128735632,15278.44,10311.47,48,114,210
"50",76908,"12",6409,"1","Monthly","central Bohemia",107870,84,29,6,1,6,58,8754,3.83,4.31,137,3804,3868,"F",16,48,46888.4209302326,15463.83,9229.55,10,106,285
"51",63312,"48",1319,"0","Monthly","central Bohemia",149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,"F",13,38,17117.4327394209,2325.91,1155.17,175,86,120
"52",25944,"24",1081,"0","Monthly","north Bohemia",118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,"F",8,34,52050.8885154062,13047.61,7173.59,24,66,198
"53",104808,"12",8734,"0","Monthly","south Moravia",125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,"M",6,54,37433.8487762238,8479.02,3025.77,240,95,176
"54",208320,"48",4340,"0","Weekly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",15,26,41532.31875,13853.71,7246.84,48,4,224
"55",151560,"24",6315,"0","Monthly","south Moravia",125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,"M",6,41,56137.6147268409,20430.43,8300.89,80,3,216
"56",52128,"24",2172,"0","Monthly","west Bohemia",94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,"F",8,34,45315.9623574144,5887.27,6185.54,24,81,219
"57",300204,"36",8339,"0","Monthly","west Bohemia",67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,"M",12,30,35204.1226506024,9951.82,4925.65,36,74,238
"58",77640,"12",6470,"0","Weekly","east Bohemia",105606,77,26,7,2,7,53,8254,2.79,3.76,97,2166,2325,"M",11,26,62552.7297766749,20754.64,10049.08,12,3,258
"59",87216,"48",1817,"1","Monthly","south Bohemia",58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,"M",6,30,17821.6290836653,4372.04,3386.52,43,42,236
"60",87360,"24",3640,"0","Monthly","north Bohemia",85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,"M",10,31,51558.4979899497,11804.92,7259.75,24,90,217
"61",69360,"48",1445,"0","Monthly","central Bohemia",75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,"M",15,52,33499.8344913151,6467.44,3302.05,49,71,214
"62",288360,"60",4806,"0","AfterTrans","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",3,58,37991.8679525223,6095.09,5964.95,54,55,114
"63",174744,"24",7281,"1","Monthly","north Bohemia",125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,"F",15,15,30541.9594339623,13819.11,5750.51,201,91,168
"64",239460,"60",3991,"0","Monthly","north Bohemia",128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,"F",9,51,35110.6070212766,12083.95,5048.72,170,16,158
"65",91584,"24",3816,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",7,42,48070.3286885246,17108.66,8589.14,24,3,217
"66",244560,"60",4076,"0","Monthly","south Moravia",124605,11,42,14,1,8,46,8772,4.69,4.98,126,2854,3158,"F",8,26,30600.5361643836,13074.88,6758.54,112,3,126
"67",4980,"12",415,"0","Monthly","south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,"F",8,41,25265.1883677298,5416.83,1796.54,183,75,213
"68",111384,"24",4641,"0","Monthly","south Bohemia",51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,"M",15,27,60965.2794952681,17085.15,8833.64,160,148,256
"69",276660,"36",7685,"1","Monthly","south Moravia",124605,11,42,14,1,8,46,8772,4.69,4.98,126,2854,3158,"M",10,45,16486.4705882353,3851.88,3406.14,35,121,171
"70",39576,"12",3298,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",17,14,64095.1054432348,10710.86,7281.67,143,125,226
"71",173808,"24",7242,"0","AfterTrans","north Moravia",148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,"F",12,37,64091.7165198238,26693.41,11064.4,24,2,296
"72",50460,"60",841,"0","Monthly","central Bohemia",75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,"F",8,46,56606.7566585956,7939.21,3502.62,111,73,162
"73",252060,"60",4201,"1","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",7,28,34002.0788288288,10454.91,5235.4,165,89,129
"74",143904,"24",5996,"0","Monthly","central Bohemia",107870,84,29,6,1,6,58,8754,3.83,4.31,137,3804,3868,"M",17,43,56720.9728571429,14818.15,6674.19,161,106,222
"75",208128,"48",4336,"1","Monthly","south Moravia",387570,0,0,0,1,1,100,9897,1.6,1.96,140,18721,18696,"M",14,42,45511.2522167488,12020.69,7541.22,41,91,191
"76",131292,"36",3647,"0","Weekly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",14,40,39886.7747826087,11117.88,5224.72,99,16,211
"77",74736,"36",2076,"0","Monthly","east Bohemia",77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,"M",13,28,39672.1782082324,11170.7,5097.32,97,67,175
"78",299088,"36",8308,"1","Monthly","north Moravia",106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,"F",13,27,34860.0732484076,13765.84,6312.45,148,84,175
"79",189300,"60",3155,"0","Monthly","east Bohemia",162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,"M",13,40,50215.6389655172,6876.67,3491.09,177,69,179
"80",14628,"12",1219,"0","Monthly","south Moravia",157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,"F",13,45,44652.4384615385,8140.79,2174.53,257,75,238
"81",120888,"36",3358,"0","Weekly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",16,50,39186.994199536,9064.55,4696.44,101,81,181
"82",172080,"48",3585,"0","Monthly","central Bohemia",92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,"F",6,37,56994.8744416873,8780.25,8289.76,48,79,157
"83",323472,"48",6739,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",13,53,48719.4637969095,13337.75,7781.74,106,108,176
"84",74688,"12",6224,"0","Monthly","west Bohemia",87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,"F",16,49,47345.4948766603,13422.59,8701.25,77,4,239
"85",45768,"12",3814,"0","Weekly","north Moravia",106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,"F",9,17,31357.2753351206,7016.76,5219.48,12,60,197
"86",224604,"36",6239,"0","Monthly","west Bohemia",51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,"M",17,18,68073.4658823529,19948.64,11084.06,36,16,229
"87",79632,"24",3318,"0","Monthly","south Moravia",125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,"F",4,35,55903.992139738,23905.36,7841.68,129,1,214
"88",121896,"24",5079,"0","Monthly","south Moravia",157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,"M",16,29,66951.3771543086,14647.29,9883.37,24,136,271
"89",82896,"12",6908,"0","Monthly","south Moravia",110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,"M",16,22,57004.1771756979,21602.75,6449.01,201,8,244
"90",23628,"12",1969,"0","Monthly","north Bohemia",85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,"M",18,40,67867.1754385965,16273.82,9679.56,76,146,278
"91",209184,"48",4358,"0","Monthly","east Bohemia",139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,"M",13,41,56543.8,19336.54,9063.46,48,4,223
"92",41904,"12",3492,"0","Monthly","north Moravia",228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,"M",20,20,58766.8026194145,9724.5,6253.73,144,120,244
"93",87816,"12",7318,"0","Monthly","north Bohemia",105058,32,19,7,2,10,81,9272,2.8,3.22,118,4340,4505,"M",15,33,18739.4510752688,4914.95,3891.54,74,100,132
"94",23052,"12",1921,"0","Monthly","south Moravia",387570,0,0,0,1,1,100,9897,1.6,1.96,140,18721,18696,"F",20,53,24129.7070676692,7112.25,2155.97,277,87,230
"95",189696,"24",7904,"1","Monthly","south Moravia",110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,"F",4,24,36164.1209439528,15332.43,7438.11,90,67,137
"96",230220,"36",6395,"1","Monthly","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,"F",11,51,32238.6577433628,7943.79,5900.83,130,71,128
"97",71460,"12",5955,"0","Monthly","south Moravia",157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,"M",10,49,40340.9591133005,11083.84,6529.29,67,94,185
"98",141240,"24",5885,"0","Monthly","east Bohemia",102609,75,33,2,3,6,52,8187,4.83,5.45,94,2123,2134,"M",12,32,63072.503343949,18509.44,4874.37,262,6,222
"99",11736,"24",489,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",17,56,34715.7846551724,11925.29,3672.12,215,70,227
"100",192744,"36",5354,"0","Monthly","south Moravia",110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,"F",16,23,67194.5902552204,13542.21,9044.19,36,111,213
"101",227880,"36",6330,"0","Monthly","south Moravia",197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,"F",12,38,62471.6174004193,9870.58,8594.33,37,101,213
"102",17508,"12",1459,"0","Monthly","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,"M",15,48,51932.1666666667,6419.58,3589.47,12,69,200
"103",98184,"24",4091,"0","Monthly","south Moravia",114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,"F",3,49,39696.3861650485,8758.47,6542.55,21,17,212
"104",170256,"24",7094,"0","Monthly","south Bohemia",93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,"F",14,29,55541.2888349515,12875.36,5877.05,84,69,180
"105",83016,"12",6918,"0","Monthly","north Moravia",285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,"M",21,15,61408.269380531,14832.64,6702.07,148,108,237
"106",61056,"48",1272,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",11,37,33080.6496732026,8750.68,3214.78,160,65,173
"107",123696,"48",2577,"0","Monthly","south Moravia",124605,11,42,14,1,8,46,8772,4.69,4.98,126,2854,3158,"M",11,54,53456.6354378819,13154.89,6246.44,160,100,171
"108",59760,"24",2490,"0","Monthly","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,"M",10,35,62014.1213942308,12084.49,4844.17,79,66,186
"109",48672,"36",1352,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",13,46,18803.0800705467,2383.81,895.63,272,97,135
"110",140400,"36",3900,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",13,53,62794.6819004525,15841.98,10495.24,36,117,220
"111",192552,"24",8023,"1","Weekly","south Bohemia",70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,"F",14,30,37400.6667546174,12060.7,7637.93,20,85,212
"112",164052,"36",4557,"1","AfterTrans","west Bohemia",51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,"F",12,19,36316.4907455013,12365.49,7631.54,32,88,207
"113",205200,"36",5700,"0","Weekly","south Moravia",161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,"F",18,31,56266.2732269504,18263.57,5588.68,222,3,207
"114",51408,"24",2142,"0","Monthly","west Bohemia",45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,"M",12,45,63675.6348894349,15541.4,10376.03,24,104,217
"115",199680,"60",3328,"0","Monthly","central Bohemia",95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,"M",13,45,32837.5655,10696.03,4859.34,107,3,166
"116",482940,"60",8049,"1","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",15,18,19822.5476588629,4846.66,3056.37,223,105,142
"117",36684,"12",3057,"0","Monthly","west Bohemia",51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,"F",21,16,26750.7018561485,6454.35,3348.54,12,81,269
"118",398640,"60",6644,"0","Weekly","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,"F",17,34,67899.0443890274,20683.95,10973.94,48,12,211
"119",100980,"60",1683,"0","Monthly","south Moravia",387570,0,0,0,1,1,100,9897,1.6,1.96,140,18721,18696,"M",12,29,41086.5746867168,7414.29,3293.08,105,67,166
"120",31248,"12",2604,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",19,55,60424.5142180095,14875.55,9328.55,12,98,246
"121",115992,"36",3222,"0","Weekly","east Bohemia",77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,"M",20,57,53153.706,14375.45,6787.65,164,110,200
"122",76380,"12",6365,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"F",8,37,17848.6299287411,4573.76,2266.65,168,86,111
"123",288468,"36",8013,"0","Monthly","south Moravia",86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,"F",4,36,33971.7347150259,7369.22,5124.15,36,57,189
"124",177744,"48",3703,"1","Monthly","north Moravia",161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,"M",17,22,51253.5927400468,13182.7,7654.93,45,97,204
"125",270648,"36",7518,"1","Weekly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",10,57,44437.7056372549,8167.36,6806.59,33,74,187
"126",48624,"24",2026,"0","Monthly","east Bohemia",139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,"M",17,33,70446.023326572,15441.81,8789.98,83,118,227
"127",76416,"24",3184,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",22,57,40070.9605660377,9423.16,4895.11,155,49,186
"128",137880,"60",2298,"1","Weekly","east Bohemia",78955,50,24,8,1,9,59,9060,1.78,2.44,124,1655,1717,"M",16,31,33760.8917910448,7984.66,5363.28,46,38,192
"129",347952,"48",7249,"0","Monthly","west Bohemia",45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,"F",21,30,65513.8762254902,14829.38,9961.86,47,102,192
"130",68112,"12",5676,"0","Monthly","north Moravia",138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,"F",17,17,53222.2322970639,20247.55,5919.2,194,4,251
"131",95808,"12",7984,"0","Monthly","west Bohemia",122603,25,21,6,2,8,80,8991,1.39,2.01,128,5198,5273,"M",14,54,66389.959047619,16772.13,12493.4,12,121,226
"132",20832,"48",434,"0","Monthly","north Bohemia",85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,"M",18,46,20476.7482233503,4469.03,1438.72,287,83,156
"133",316140,"60",5269,"1","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",22,26,9629.3538647343,5047.83,3137.65,41,103,215
"134",43164,"12",3597,"0","Monthly","south Moravia",117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,"F",12,19,59798.3385826772,20493.66,9310.54,12,3,248
"135",221280,"48",4610,"0","Weekly","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,"M",12,26,37825.6067183463,18082.2,7938.82,101,1,167
"136",151728,"48",3161,"1","Monthly","north Moravia",323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,"M",9,18,47080.8699519231,10985.21,9762.34,45,93,170
"137",79920,"60",1332,"0","Monthly","west Bohemia",170449,0,0,0,1,1,100,10787,2.64,3.09,131,6041,6261,"M",14,41,45950.8742424242,13305.06,4632.22,159,62,175
"138",538500,"60",8975,"0","Monthly","central Bohemia",95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,"M",11,34,31340.3487534626,11590.7,5242.98,99,58,147
"139",97224,"24",4051,"0","Monthly","west Bohemia",122603,25,21,6,2,8,80,8991,1.39,2.01,128,5198,5273,"F",17,43,34073.2267782427,5336.81,2869.92,142,108,165
"140",28248,"24",1177,"0","Monthly","east Bohemia",162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,"F",18,25,60557.2815864023,10834.81,6128.73,24,68,183
"141",168984,"24",7041,"1","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",19,18,63229.3605210421,10911.43,9378.96,22,106,241
"142",76680,"24",3195,"0","Monthly","north Moravia",228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,"M",18,46,54558.8130755064,13891.19,7400.34,142,2,210
"143",331560,"60",5526,"0","Monthly","central Bohemia",107870,84,29,6,1,6,58,8754,3.83,4.31,137,3804,3868,"M",19,14,57196.3133333333,11856.42,4442.48,163,68,150
"144",103680,"60",1728,"1","Monthly","east Bohemia",95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,"M",20,23,21089.5628169014,5481.03,3266.3,36,76,187
"145",99696,"48",2077,"1","Monthly","west Bohemia",88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,"F",21,23,54881.7354312354,14895.3,9107.29,42,107,220
"146",134784,"24",5616,"0","Monthly","north Moravia",285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,"F",9,54,62731.9732227488,11811.04,9704.14,24,87,202
"147",15420,"12",1285,"0","Monthly","north Bohemia",128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,"F",22,29,34505.8158203125,4704.28,2094.75,136,99,210
"148",31728,"24",1322,"0","Monthly","Prague",1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,"M",18,44,35077.3424942263,7840.52,3449.09,83,73,213
