"","amount","duration","payments","status","frequency","region","inhab","mun499","mun1999","mun9999","mun10000","cities","ratio_urban","avg_salary","unempl95","unempl96","ratio_entr","crimes95","crimes96","gender","acc_m","age","avg_balance","avg_amtC","avg_amtW","remittance","cash_c","cash_w"
"11",2.1924,"36",6.09,"0","Monthly","south Moravia",15.7042,49,70,18,0,9,33.9,87.43,1.88,2.43,111,36.59,38.94,"M",9,33,46.2583014373717,75.2429,34.9198,104,88,224
"12",7.9608,"24",33.17,"0","Monthly","east Bohemia",10.5606,77,26,7,2,7,53,82.54,2.79,3.76,97,21.66,23.25,"M",10,23,65.7733976190476,235.9998,109.2989,24,5,289
"13",46.452,"60",77.42,"1","Weekly","central Bohemia",7.7963,60,23,4,2,4,51.5,85.46,2.95,4.02,126,26.4,31.2,"F",8,53,37.4209306122449,130.2472,82.4871,48,105,219
"14",9.54,"36",26.5,"0","Weekly","east Bohemia",7.5685,31,28,5,1,9,60.8,82.08,1.89,2.26,155,16.6,21.23,"M",8,22,68.5190653444676,164.3903,110.4178,36,124,249
"15",9.3888,"36",26.08,"0","AfterTrans","south Moravia",8.6513,38,36,5,1,5,50.5,82.88,3.79,4.52,110,15.62,14.6,"F",5,43,33.9831918181818,77.7056,51.3599,97,48,163
"16",4.7016,"12",39.18,"0","AfterTrans","south Moravia",19.7099,29,41,10,2,10,74.7,96.24,1.6,2.31,145,44.84,42.65,"F",7,35,54.6670589361702,167.5921,112.0363,64,122,215
"17",25.974,"60",43.29,"0","Monthly","north Moravia",22.8848,15,40,18,2,6,57.2,98.93,4.09,4.72,96,56.23,58.87,"M",5,14,38.2960575963719,125.6552,63.9842,121,21,169
"18",3.8148,"12",31.79,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",5,28,39.2670091653028,74.3232,42.016,196,26,191
"19",8.6616,"12",72.18,"0","Monthly","central Bohemia",7.5637,35,36,9,0,7,36.5,96.22,0.45,0.59,154,34.75,35.29,"M",4,32,55.4188112299465,44.8496,30.8384,131,115,187
"20",7.5624,"24",31.51,"1","Monthly","south Moravia",38.757,0,0,0,1,1,100,98.97,1.6,1.96,140,187.21,186.96,"M",6,35,38.4465898454746,105.1884,90.1989,22,84,221
"21",8.0952,"24",33.73,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"M",10,48,36.5407043933054,105.0693,47.6818,89,12,237
"22",8.0952,"24",33.73,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"M",10,48,35.5574979079498,105.0452,47.8812,89,12,237
"23",2.4516,"12",20.43,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"M",10,35,55.8854838951311,176.416,101.7073,12,128,324
"24",25.32,"60",42.2,"0","Weekly","north Moravia",22.8848,15,40,18,2,6,57.2,98.93,4.09,4.72,96,56.23,58.87,"F",8,43,47.187386259542,123.7205,77.7202,59,85,181
"25",2.1072,"24",8.78,"0","Monthly","central Bohemia",14.9893,63,29,6,2,6,67.4,97.53,4.64,5.05,109,52.44,58.92,"F",4,29,31.8282779411765,25.0109,16.5157,142,99,177
"26",10.8144,"36",30.04,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",8,30,59.0021727642276,149.7693,89.8174,101,121,202
"27",7.8936,"12",65.78,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",9,37,30.9173488977956,42.9019,25.8746,138,129,164
"28",14.904,"48",31.05,"0","Monthly","central Bohemia",7.5637,35,36,9,0,7,36.5,96.22,0.45,0.59,154,34.75,35.29,"F",9,25,37.2003718120805,99.1319,44.2849,112,5,194
"29",4.932,"12",41.1,"1","AfterTrans","west Bohemia",12.2603,25,21,6,2,8,80,89.91,1.39,2.01,128,51.98,52.73,"F",5,48,49.6153574108818,143.4834,73.0668,132,120,217
"30",19.7748,"36",54.93,"0","Monthly","east Bohemia",10.2609,75,33,2,3,6,52,81.87,4.83,5.45,94,21.23,21.34,"F",5,23,47.9199873831776,129.4625,53.905,94,66,205
"31",30.066,"60",50.11,"0","Monthly","north Bohemia",12.8118,9,16,6,3,8,85.3,93.17,6.49,7.07,97,69.49,68.72,"M",10,44,49.1073194675541,137.5573,58.7434,247,113,173
"32",18.2628,"36",50.73,"0","Monthly","north Moravia",13.8032,67,30,4,2,5,64.6,88.19,5.38,5.66,99,40.63,45.05,"M",4,34,39.3386221153846,81.5978,36.0348,93,70,191
"33",9.1632,"12",76.36,"0","Monthly","central Bohemia",9.4725,38,28,1,3,6,63.4,99.2,2.26,2.87,130,42.89,48.46,"F",12,31,47.9179765327696,89.503,42.2823,78,88,237
"34",5.1696,"24",21.54,"0","Monthly","north Moravia",32.387,0,0,0,1,1,100,106.73,4.75,5.44,100,187.82,183.47,"F",13,26,58.6748068,161.786,104.0815,25,127,250
"35",5.5368,"24",23.07,"0","Monthly","south Moravia",19.7099,29,41,10,2,10,74.7,96.24,1.6,2.31,145,44.84,42.65,"F",12,54,42.4118743970315,100.9308,79.2583,24,104,277
"36",9.12,"24",38,"0","Monthly","north Bohemia",11.9895,17,4,3,2,4,89.9,104.46,7.34,9.4,90,49.47,47.43,"F",7,38,32.9204359036145,115.8745,59.1795,84,13,188
"37",0.7656,"24",3.19,"0","Monthly","east Bohemia",7.8955,50,24,8,1,9,59,90.6,1.78,2.44,124,16.55,17.17,"F",12,31,46.8777485714286,76.8294,48.4782,89,71,227
"38",21.24,"36",59,"0","Weekly","north Bohemia",8.5852,41,23,4,2,4,59.8,89.65,7.08,8.23,104,26.53,28.22,"F",13,27,62.403351369863,123.0062,79.5052,36,105,227
"39",16.71,"60",27.85,"0","Monthly","south Moravia",14.5688,22,41,13,2,5,40.7,85.44,1.29,1.86,109,27.19,29.06,"F",11,24,56.108403652968,155.2533,99.5481,57,104,208
"40",14.934,"60",24.89,"0","Weekly","east Bohemia",10.5606,77,26,7,2,7,53,82.54,2.79,3.76,97,21.66,23.25,"M",10,31,35.0203,77.3692,42.3179,120,20,153
"41",6.5184,"12",54.32,"0","Monthly","south Moravia",38.757,0,0,0,1,1,100,98.97,1.6,1.96,140,187.21,186.96,"M",14,36,70.2335125,170.1817,81.0951,12,12,280
"42",21.5388,"36",59.83,"1","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"M",5,34,35.553192481203,76.4826,68.9415,20,75,189
"43",8.904,"60",14.84,"0","Monthly","north Moravia",14.8545,8,35,12,3,4,53.5,89.09,4.01,5.56,113,34.6,35.9,"F",13,24,36.3672910280374,38.3322,29.91,120,106,171
"44",19.3968,"36",53.88,"0","AfterTrans","north Moravia",22.6122,32,50,7,4,4,62.6,89.94,3.8,4.79,110,96.72,92.08,"M",6,21,52.7878367647059,89.9444,88.5794,36,85,167
"45",2.4312,"12",20.26,"0","Monthly","south Bohemia",9.3931,74,21,10,1,8,56.9,84.27,1.12,1.54,107,18.74,19.13,"F",15,38,36.1583989795918,63.1496,39.8111,12,13,225
"46",27.252,"60",45.42,"0","Monthly","central Bohemia",9.2084,55,29,4,3,5,46.7,101.24,0.56,0.54,141,38.1,43.16,"M",11,54,52.3049380549683,142.6539,84.2543,120,110,176
"47",8.034,"12",66.95,"0","Monthly","central Bohemia",7.5637,35,36,9,0,7,36.5,96.22,0.45,0.59,154,34.75,35.29,"F",10,18,56.843838534279,218.7358,97.8743,12,3,265
"48",9.7632,"12",81.36,"0","Monthly","south Bohemia",7.0646,94,14,3,1,4,58.4,85.47,2.65,3.64,120,15.63,15.42,"F",10,25,59.0530096892139,249.1442,86.422,134,12,271
"49",19.608,"48",40.85,"0","Monthly","west Bohemia",8.7419,21,11,4,3,9,85.5,86.24,1.79,2.66,102,28.79,31.98,"M",7,36,63.7492128735632,152.7844,103.1147,48,114,210
"50",7.6908,"12",64.09,"1","Monthly","central Bohemia",10.787,84,29,6,1,6,58,87.54,3.83,4.31,137,38.04,38.68,"F",16,48,46.8884209302326,154.6383,92.2955,10,106,285
"51",6.3312,"48",13.19,"0","Monthly","central Bohemia",14.9893,63,29,6,2,6,67.4,97.53,4.64,5.05,109,52.44,58.92,"F",13,38,17.1174327394209,23.2591,11.5517,175,86,120
"52",2.5944,"24",10.81,"0","Monthly","north Bohemia",11.865,8,8,5,1,3,85.6,98.32,3.32,4.48,114,64.45,54.71,"F",8,34,52.0508885154062,130.4761,71.7359,24,66,198
"53",10.4808,"12",87.34,"0","Monthly","south Moravia",12.5832,151,41,2,3,5,48.3,85.12,3.51,4.12,102,22.47,21.03,"M",6,54,37.4338487762238,84.7902,30.2577,240,95,176
"54",20.832,"48",43.4,"0","Weekly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",15,26,41.53231875,138.5371,72.4684,48,4,224
"55",15.156,"24",63.15,"0","Monthly","south Moravia",12.5832,151,41,2,3,5,48.3,85.12,3.51,4.12,102,22.47,21.03,"M",6,41,56.1376147268409,204.3043,83.0089,80,3,216
"56",5.2128,"24",21.72,"0","Monthly","west Bohemia",9.4812,15,13,8,2,10,81.8,96.5,3.38,3.67,100,29.85,28.04,"F",8,34,45.3159623574144,58.8727,61.8554,24,81,219
"57",30.0204,"36",83.39,"0","Monthly","west Bohemia",6.7298,71,19,10,0,7,43.8,85.61,0.65,1.29,110,10.29,11.27,"M",12,30,35.2041226506024,99.5182,49.2565,36,74,238
"58",7.764,"12",64.7,"0","Weekly","east Bohemia",10.5606,77,26,7,2,7,53,82.54,2.79,3.76,97,21.66,23.25,"M",11,26,62.5527297766749,207.5464,100.4908,12,3,258
"59",8.7216,"48",18.17,"1","Monthly","south Bohemia",5.8796,22,16,7,1,5,51.9,90.45,3.13,3.6,124,18.45,18.79,"M",6,30,17.8216290836653,43.7204,33.8652,43,42,236
"60",8.736,"24",36.4,"0","Monthly","north Bohemia",8.5852,41,23,4,2,4,59.8,89.65,7.08,8.23,104,26.53,28.22,"M",10,31,51.5584979899497,118.0492,72.5975,24,90,217
"61",6.936,"48",14.45,"0","Monthly","central Bohemia",7.5637,35,36,9,0,7,36.5,96.22,0.45,0.59,154,34.75,35.29,"M",15,52,33.4998344913151,64.6744,33.0205,49,71,214
"62",28.836,"60",48.06,"0","AfterTrans","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"M",3,58,37.9918679525223,60.9509,59.6495,54,55,114
"63",17.4744,"24",72.81,"1","Monthly","north Bohemia",12.5236,28,11,1,4,5,87.7,96.75,6.43,7.68,100,53.23,51.9,"F",15,15,30.5419594339623,138.1911,57.5051,201,91,168
"64",23.946,"60",39.91,"0","Monthly","north Bohemia",12.8118,9,16,6,3,8,85.3,93.17,6.49,7.07,97,69.49,68.72,"F",9,51,35.1106070212766,120.8395,50.4872,170,16,158
"65",9.1584,"24",38.16,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",7,42,48.0703286885246,171.0866,85.8914,24,3,217
"66",24.456,"60",40.76,"0","Monthly","south Moravia",12.4605,11,42,14,1,8,46,87.72,4.69,4.98,126,28.54,31.58,"F",8,26,30.6005361643836,130.7488,67.5854,112,3,126
"67",0.498,"12",4.15,"0","Monthly","south Moravia",8.6513,38,36,5,1,5,50.5,82.88,3.79,4.52,110,15.62,14.6,"F",8,41,25.2651883677298,54.1683,17.9654,183,75,213
"68",11.1384,"24",46.41,"0","Monthly","south Bohemia",5.1428,50,11,3,1,4,52.7,84.02,3.13,3.98,120,9.99,10.99,"M",15,27,60.9652794952681,170.8515,88.3364,160,148,256
"69",27.666,"36",76.85,"1","Monthly","south Moravia",12.4605,11,42,14,1,8,46,87.72,4.69,4.98,126,28.54,31.58,"M",10,45,16.4864705882353,38.5188,34.0614,35,121,171
"70",3.9576,"12",32.98,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",17,14,64.0951054432348,107.1086,72.8167,143,125,226
"71",17.3808,"24",72.42,"0","AfterTrans","north Moravia",14.8545,8,35,12,3,4,53.5,89.09,4.01,5.56,113,34.6,35.9,"F",12,37,64.0917165198238,266.9341,110.644,24,2,296
"72",5.046,"60",8.41,"0","Monthly","central Bohemia",7.5637,35,36,9,0,7,36.5,96.22,0.45,0.59,154,34.75,35.29,"F",8,46,56.6067566585956,79.3921,35.0262,111,73,162
"73",25.206,"60",42.01,"1","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",7,28,34.0020788288288,104.5491,52.354,165,89,129
"74",14.3904,"24",59.96,"0","Monthly","central Bohemia",10.787,84,29,6,1,6,58,87.54,3.83,4.31,137,38.04,38.68,"M",17,43,56.7209728571429,148.1815,66.7419,161,106,222
"75",20.8128,"48",43.36,"1","Monthly","south Moravia",38.757,0,0,0,1,1,100,98.97,1.6,1.96,140,187.21,186.96,"M",14,42,45.5112522167488,120.2069,75.4122,41,91,191
"76",13.1292,"36",36.47,"0","Weekly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"M",14,40,39.8867747826087,111.1788,52.2472,99,16,211
"77",7.4736,"36",20.76,"0","Monthly","east Bohemia",7.7917,85,19,6,1,5,53.5,83.9,2.28,2.89,132,20.8,21.22,"M",13,28,39.6721782082324,111.707,50.9732,97,67,175
"78",29.9088,"36",83.08,"1","Monthly","north Moravia",10.6054,38,25,6,2,6,63.1,81.1,5.77,6.55,109,32.44,30.79,"F",13,27,34.8600732484076,137.6584,63.1245,148,84,175
"79",18.93,"60",31.55,"0","Monthly","east Bohemia",16.258,83,26,5,1,6,72.8,95.38,1.51,1.81,111,60.79,54.1,"M",13,40,50.2156389655172,68.7667,34.9109,177,69,179
"80",1.4628,"12",12.19,"0","Monthly","south Moravia",15.7042,49,70,18,0,9,33.9,87.43,1.88,2.43,111,36.59,38.94,"F",13,45,44.6524384615385,81.4079,21.7453,257,75,238
"81",12.0888,"36",33.58,"0","Weekly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",16,50,39.186994199536,90.6455,46.9644,101,81,181
"82",17.208,"48",35.85,"0","Monthly","central Bohemia",9.2084,55,29,4,3,5,46.7,101.24,0.56,0.54,141,38.1,43.16,"F",6,37,56.9948744416873,87.8025,82.8976,48,79,157
"83",32.3472,"48",67.39,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",13,53,48.7194637969095,133.3775,77.8174,106,108,176
"84",7.4688,"12",62.24,"0","Monthly","west Bohemia",8.7419,21,11,4,3,9,85.5,86.24,1.79,2.66,102,28.79,31.98,"F",16,49,47.3454948766603,134.2259,87.0125,77,4,239
"85",4.5768,"12",38.14,"0","Weekly","north Moravia",10.6054,38,25,6,2,6,63.1,81.1,5.77,6.55,109,32.44,30.79,"F",9,17,31.3572753351206,70.1676,52.1948,12,60,197
"86",22.4604,"36",62.39,"0","Monthly","west Bohemia",5.1313,34,12,3,1,4,59.2,89.3,3.52,4.2,108,13.28,14.52,"M",17,18,68.0734658823529,199.4864,110.8406,36,16,229
"87",7.9632,"24",33.18,"0","Monthly","south Moravia",12.5832,151,41,2,3,5,48.3,85.12,3.51,4.12,102,22.47,21.03,"F",4,35,55.903992139738,239.0536,78.4168,129,1,214
"88",12.1896,"24",50.79,"0","Monthly","south Moravia",15.7042,49,70,18,0,9,33.9,87.43,1.88,2.43,111,36.59,38.94,"M",16,29,66.9513771543086,146.4729,98.8337,24,136,271
"89",8.2896,"12",69.08,"0","Monthly","south Moravia",11.0643,49,41,4,1,4,51.9,84.41,3.45,4.48,115,18.79,22.52,"M",16,22,57.0041771756979,216.0275,64.4901,201,8,244
"90",2.3628,"12",19.69,"0","Monthly","north Bohemia",8.5852,41,23,4,2,4,59.8,89.65,7.08,8.23,104,26.53,28.22,"M",18,40,67.8671754385965,162.7382,96.7956,76,146,278
"91",20.9184,"48",43.58,"0","Monthly","east Bohemia",13.9012,59,41,8,3,10,61.9,83.63,2.52,3.49,108,25.64,27.99,"M",13,41,56.5438,193.3654,90.6346,48,4,223
"92",4.1904,"12",34.92,"0","Monthly","north Moravia",22.8848,15,40,18,2,6,57.2,98.93,4.09,4.72,96,56.23,58.87,"M",20,20,58.7668026194145,97.245,62.5373,144,120,244
"93",8.7816,"12",73.18,"0","Monthly","north Bohemia",10.5058,32,19,7,2,10,81,92.72,2.8,3.22,118,43.4,45.05,"M",15,33,18.7394510752688,49.1495,38.9154,74,100,132
"94",2.3052,"12",19.21,"0","Monthly","south Moravia",38.757,0,0,0,1,1,100,98.97,1.6,1.96,140,187.21,186.96,"F",20,53,24.1297070676692,71.1225,21.5597,277,87,230
"95",18.9696,"24",79.04,"1","Monthly","south Moravia",11.0643,49,41,4,1,4,51.9,84.41,3.45,4.48,115,18.79,22.52,"F",4,24,36.1641209439528,153.3243,74.3811,90,67,137
"96",23.022,"36",63.95,"1","Monthly","north Moravia",32.387,0,0,0,1,1,100,106.73,4.75,5.44,100,187.82,183.47,"F",11,51,32.2386577433628,79.4379,59.0083,130,71,128
"97",7.146,"12",59.55,"0","Monthly","south Moravia",15.7042,49,70,18,0,9,33.9,87.43,1.88,2.43,111,36.59,38.94,"M",10,49,40.3409591133005,110.8384,65.2929,67,94,185
"98",14.124,"24",58.85,"0","Monthly","east Bohemia",10.2609,75,33,2,3,6,52,81.87,4.83,5.45,94,21.23,21.34,"M",12,32,63.072503343949,185.0944,48.7437,262,6,222
"99",1.1736,"24",4.89,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"M",17,56,34.7157846551724,119.2529,36.7212,215,70,227
"100",19.2744,"36",53.54,"0","Monthly","south Moravia",11.0643,49,41,4,1,4,51.9,84.41,3.45,4.48,115,18.79,22.52,"F",16,23,67.1945902552204,135.4221,90.4419,36,111,213
"101",22.788,"36",63.3,"0","Monthly","south Moravia",19.7099,29,41,10,2,10,74.7,96.24,1.6,2.31,145,44.84,42.65,"F",12,38,62.4716174004193,98.7058,85.9433,37,101,213
"102",1.7508,"12",14.59,"0","Monthly","north Moravia",32.387,0,0,0,1,1,100,106.73,4.75,5.44,100,187.82,183.47,"M",15,48,51.9321666666667,64.1958,35.8947,12,69,200
"103",9.8184,"24",40.91,"0","Monthly","south Moravia",11.42,101,41,4,1,4,43.7,84.03,5.74,5.72,105,21.57,27.18,"F",3,49,39.6963861650485,87.5847,65.4255,21,17,212
"104",17.0256,"24",70.94,"0","Monthly","south Bohemia",9.3931,74,21,10,1,8,56.9,84.27,1.12,1.54,107,18.74,19.13,"F",14,29,55.5412888349515,128.7536,58.7705,84,69,180
"105",8.3016,"12",69.18,"0","Monthly","north Moravia",28.5387,0,2,8,5,7,89.9,101.77,6.63,7.75,81,98.78,101.08,"M",21,15,61.408269380531,148.3264,67.0207,148,108,237
"106",6.1056,"48",12.72,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",11,37,33.0806496732026,87.5068,32.1478,160,65,173
"107",12.3696,"48",25.77,"0","Monthly","south Moravia",12.4605,11,42,14,1,8,46,87.72,4.69,4.98,126,28.54,31.58,"M",11,54,53.4566354378819,131.5489,62.4644,160,100,171
"108",5.976,"24",24.9,"0","Monthly","north Moravia",32.387,0,0,0,1,1,100,106.73,4.75,5.44,100,187.82,183.47,"M",10,35,62.0141213942308,120.8449,48.4417,79,66,186
"109",4.8672,"36",13.52,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",13,46,18.8030800705467,23.8381,8.9563,272,97,135
"110",14.04,"36",39,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"M",13,53,62.7946819004525,158.4198,104.9524,36,117,220
"111",19.2552,"24",80.23,"1","Weekly","south Bohemia",7.0646,94,14,3,1,4,58.4,85.47,2.65,3.64,120,15.63,15.42,"F",14,30,37.4006667546174,120.607,76.3793,20,85,212
"112",16.4052,"36",45.57,"1","AfterTrans","west Bohemia",5.1313,34,12,3,1,4,59.2,89.3,3.52,4.2,108,13.28,14.52,"F",12,19,36.3164907455013,123.6549,76.3154,32,88,207
"113",20.52,"36",57,"0","Weekly","south Moravia",16.1954,21,37,20,3,8,48,87.2,3.73,4.5,116,37.29,36.51,"F",18,31,56.2662732269504,182.6357,55.8868,222,3,207
"114",5.1408,"24",21.42,"0","Monthly","west Bohemia",4.5714,52,10,5,1,6,55.6,88.43,2.82,3.6,113,8.18,8.88,"M",12,45,63.6756348894349,155.414,103.7603,24,104,217
"115",19.968,"60",33.28,"0","Monthly","central Bohemia",9.5616,65,30,4,1,6,51.4,93.07,3.85,4.43,118,26.16,30.4,"M",13,45,32.8375655,106.9603,48.5934,107,3,166
"116",48.294,"60",80.49,"1","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",15,18,19.8225476588629,48.4666,30.5637,223,105,142
"117",3.6684,"12",30.57,"0","Monthly","west Bohemia",5.1313,34,12,3,1,4,59.2,89.3,3.52,4.2,108,13.28,14.52,"F",21,16,26.7507018561485,64.5435,33.4854,12,81,269
"118",39.864,"60",66.44,"0","Weekly","north Moravia",32.387,0,0,0,1,1,100,106.73,4.75,5.44,100,187.82,183.47,"F",17,34,67.8990443890274,206.8395,109.7394,48,12,211
"119",10.098,"60",16.83,"0","Monthly","south Moravia",38.757,0,0,0,1,1,100,98.97,1.6,1.96,140,187.21,186.96,"M",12,29,41.0865746867168,74.1429,32.9308,105,67,166
"120",3.1248,"12",26.04,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",19,55,60.4245142180095,148.7555,93.2855,12,98,246
"121",11.5992,"36",32.22,"0","Weekly","east Bohemia",7.7917,85,19,6,1,5,53.5,83.9,2.28,2.89,132,20.8,21.22,"M",20,57,53.153706,143.7545,67.8765,164,110,200
"122",7.638,"12",63.65,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"F",8,37,17.8486299287411,45.7376,22.6665,168,86,111
"123",28.8468,"36",80.13,"0","Monthly","south Moravia",8.6513,38,36,5,1,5,50.5,82.88,3.79,4.52,110,15.62,14.6,"F",4,36,33.9717347150259,73.6922,51.2415,36,57,189
"124",17.7744,"48",37.03,"1","Monthly","north Moravia",16.1227,5,35,11,4,10,69.7,86.78,5.93,5.57,102,49.8,45.95,"M",17,22,51.2535927400468,131.827,76.5493,45,97,204
"125",27.0648,"36",75.18,"1","Weekly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"M",10,57,44.4377056372549,81.6736,68.0659,33,74,187
"126",4.8624,"24",20.26,"0","Monthly","east Bohemia",13.9012,59,41,8,3,10,61.9,83.63,2.52,3.49,108,25.64,27.99,"M",17,33,70.446023326572,154.4181,87.8998,83,118,227
"127",7.6416,"24",31.84,"0","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"M",22,57,40.0709605660377,94.2316,48.9511,155,49,186
"128",13.788,"60",22.98,"1","Weekly","east Bohemia",7.8955,50,24,8,1,9,59,90.6,1.78,2.44,124,16.55,17.17,"M",16,31,33.7608917910448,79.8466,53.6328,46,38,192
"129",34.7952,"48",72.49,"0","Monthly","west Bohemia",4.5714,52,10,5,1,6,55.6,88.43,2.82,3.6,113,8.18,8.88,"F",21,30,65.5138762254902,148.2938,99.6186,47,102,192
"130",6.8112,"12",56.76,"0","Monthly","north Moravia",13.8032,67,30,4,2,5,64.6,88.19,5.38,5.66,99,40.63,45.05,"F",17,17,53.2222322970639,202.4755,59.192,194,4,251
"131",9.5808,"12",79.84,"0","Monthly","west Bohemia",12.2603,25,21,6,2,8,80,89.91,1.39,2.01,128,51.98,52.73,"M",14,54,66.389959047619,167.7213,124.934,12,121,226
"132",2.0832,"48",4.34,"0","Monthly","north Bohemia",8.5852,41,23,4,2,4,59.8,89.65,7.08,8.23,104,26.53,28.22,"M",18,46,20.4767482233503,44.6903,14.3872,287,83,156
"133",31.614,"60",52.69,"1","Monthly","Prague",120.4953,0,0,0,1,1,100,125.41,0.29,0.43,167,856.77,991.07,"M",22,26,9.6293538647343,50.4783,31.3765,41,103,215
"134",4.3164,"12",35.97,"0","Monthly","south Moravia",11.7897,139,28,5,1,6,53.8,88.14,4.76,5.74,107,21.12,20.59,"F",12,19,59.7983385826772,204.9366,93.1054,12,3,248
"135",22.128,"48",46.1,"0","Weekly","north Moravia",32.387,0,0,0,1,1,100,106.73,4.75,5.44,100,187.82,183.47,"M",12,26,37.8256067183463,180.822,79.3882,101,1,167
"136",15.1728,"48",31.61,"1","Monthly","north Moravia",32.387,0,0,0,1,1,100,106.73,4.75,5.44,100,187.82,183.47,"M",9,18,47.0808699519231,109.8521,97.6234,45,93,170
"137",7.992,"60",13.32,"0","Monthly","west Bohemia",17.0449,0,0,0,1,1,100,107.87,2.64,3.09,131,60.41,62.61,"M",14,41,45.9508742424242,133.0506,46.3222,159,62,175
"138",53.85,"60",89.75,"0","Monthly","central Bohemia",9.5616,65,30,4,1,6,51.4,93.07,3.85,4.43,118,26.16,30.4,"M",11,34,31.3403487534626,115.907,52.4298,99,58,147
